Data,Hora,IP,"GPU (%)","CPU Média (%)","RAM (%)","Disco (%)"
2024-12-06,21:47:01,N/A,N/A,N/A,N/A,N/A
2024-12-06,21:47:01,26.94.128.173,N/A,N/A,N/A,N/A
2024-12-06,21:47:04,N/A,N/A,8.25,77.7,95.0
2024-12-06,21:47:11,N/A,N/A,11.80,77.6,95.0
2024-12-06,21:47:18,N/A,N/A,10.22,77.2,95.0
2024-12-06,21:47:25,N/A,N/A,3.23,77.1,95.0
